 Mortalidade de Residentes no Exterior
Óbitos p/Ocorrência por País de residência e Sexo
Período:2019
"País de residência";"Masc";"Fem";"Ign";"Total"
"110  GUATEMALA";1;-;-;1
"45   ESTADOS UNIDOS";10;2;-;12
"38   REINO UNIDO";1;-;-;1
"64   TUVALU";-;1;-;1
"68   BOLIVIA";34;25;-;59
"84   SURINAME";1;-;-;1
"109  GANA";1;-;-;1
"121  MAURITANIA";1;-;-;1
"2    GABAO";1;2;-;3
"3    GEORGIA";6;-;-;6
"5    LIBIA";1;1;-;2
"7    PERU";8;2;-;10
"9    SUICA";1;-;-;1
"16   IRAQUE";1;-;-;1
"19   ITALIA";6;1;-;7
"21   MEXICO";-;1;-;1
"24   NORUEGA";1;-;-;1
"26   REPUBLICA TCHECA";-;1;-;1
"31   ANGOLA";-;2;-;2
"32   ARGENTINA";33;12;-;45
"39   UCRANIA";1;-;-;1
"41   ALEMANHA";4;-;-;4
"43   BELGICA";-;1;-;1
"44   ESPANHA";3;-;-;3
"46   FRANCA";7;1;-;8
"54   ISRAEL";1;-;-;1
"55   JAPAO";2;-;-;2
"70   ERITREIA";1;-;-;1
"72   HONDURAS";1;-;-;1
"96   CANADA";2;-;-;2
"107  FILIPINAS";4;-;-;4
"114  HAITI";2;1;-;3
"118  LITUANIA";1;-;-;1
"123  NEPAL";-;1;-;1
"126  PARAGUAI";68;22;-;90
"128  REPUBLICA CENTRO-AFRICANA";1;-;-;1
"129  REPUBLICA DOMINICANA";-;1;-;1
"137  URUGUAI";11;6;-;17
"138  VENEZUELA";70;47;-;117
"143  AUSTRIA";-;1;-;1
"150  BURUNDI";-;1;-;1
"151  COLOMBIA";16;1;-;17
"155  CROACIA";2;-;-;2
"156  CUBA";-;1;-;1
"162  GRECIA";2;-;-;2
"164  INDIA";1;-;-;1
"165  INDONESIA";1;-;-;1
"170  MADAGASCAR";-;1;-;1
"182  PORTUGAL";1;1;-;2
"192  CHILE";1;2;-;3
"193  REPUBLICA POPULAR DA CHINA";3;1;-;4
"199  GUIANA";9;7;1;17
"Total";322;146;1;469
 Fonte: MS/SVSA/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Notas:
 
 Dados finais disponíveis até 2024 - data de extração 02/12/2025.
 Dados de 2025 - Preliminares - data de extração 28/07/2026.
 Dados de 2026 - 1a prévia - data de extração 01/06/2026.
 
